id,answer
3213,C. 25
2189,C. 16
319,B. 140
607,C. 2400
3132,A. 564
2360,D. 363
322,C. Thứ Tư
1417,A. 10
3726,C. 81
3325,A. 810
3741,B. 16
2883,D. 50
3244,C. 1400
1108,D. 84
3812,B. 37
2886,"C. 5,668"
3066,C. 12
1751,D. 24
2856,C. 600
1551,C. 39
2632,C. 7
3900,C. 110
850,B. 60
1974,A. 75
1799,C. 82
2467,D. 45
2239,A. 20
1975,D. 840
3321,C. 540
2861,B. 121
576,C. 30
3980,B. 5000
1078,A. 18
1607,C. 2
14,"D. 6,98"
2027,B. 1750
414,C. 41
2256,B. 6
3168,B. 30
199,A. 18300
3319,D. 31
1043,"C. 0,45"
2137,A. 117
822,A. 25
503,C. 36
1015,A. 120
1131,C. 18
70,D. 1605
1532,B. 100
2625,D. 8
3636,C. $8\frac{12}{17}$
3814,A. 145
3999,A. 11
8,B. 52
3792,B. 8
1285,A. 20
3984,C. 117
1556,B. 21
1236,C. 17 bạn
1564,C. 35
479,A. 224
3419,A. 250
1570,A. 30
1790,B. 370
3417,D. 27
2920,B. 29
2139,A. 35
2081,C. 96
1061,A. 29
32,A. 121
2135,C. 10; 12; 14; 16
325,C. 7 ngày
2871,A. 12
3282,C. 27
2469,C. 20
1621,C. 48
3546,B. 58 800
3638,C. 150
2505,C. 13600
2382,B. 2
3366,C. 60
990,D. 2
3521,A. 50
2739,B. 40
3885,D. 16
910,A. 11
1287,B. 600
2947,D. 1990
181,C. 22
232,C. 38
2314,C. 4455
2818,D. 15
2635,D. 305
1176,B. 3
2391,B. 6
3438,D. 40
691,C. 15
166,B. 5
829,A. 12 000 đồng
1749,A. 75
1493,A. 19
149,B. 5 980 l
582,C. 23
1186,A. 32
2521,B. 16
1450,A. 3
1193,A. 15
3580,C. 15
573,D. 28
3623,D. 300
2928,B. 220
2031,B. 6
2647,D. 13
2789,D. 21
3191,C. 605
2048,C. 99 998
3134,B. $\frac{324}{1000}$
1465,D. 17
3992,C. 2
1430,C. 264
2439,B. 12
1349,D. 9400
3744,A. 79
3467,D. 35
469,D. 24
2875,D. 8
1632,A. 80
2145,B. 45
3487,A. 9
1149,A. 237
3728,D. 51
2340,B. 8
928,C. 14
1620,A. 42
1795,B. 294
214,B. 30
3090,C. 210
3893,C. 60
2335,C. 958
3559,C. 10
3421,B. 60
2811,B. 72
3247,A. 8
585,D. 225
3761,B. 50
329,D. 250
2267,C. 4500
3257,B. 164
1412,B. 15
2911,C. 168
820,D. 4
1671,A. 160
1356,A. 9975
439,A. 6
3891,A. 960
3506,C. 4
1431,A. 16
2652,A. 800
3358,C. 8
3241,D. 160
869,C. 32
2349,D. 192
687,C. 155
1152,B. 5
3341,B. 35
93,B. 120
1601,B. 450
2433,C. 10
2368,A. 468
1525,C. 68
23,D. 5
3554,C. 1010
2673,C. 10
666,D. 33
3660,C. 4248
2676,C. 64
398,B. 169
1122,B. 8
1812,D. 18
2825,A. 40
3147,A. 4
243,C. 16000
536,C. 1000
3210,A. 65
1907,A. 128
2952,D. 9
1037,C. 240
2780,D. 40
3274,C. 56
2385,B. 155
2162,B. 1045
3528,C. 120
273,D. 770
3798,C. 113
2188,A. 75
543,B. 3
2013,B. 25
1847,B. 60
494,A. 26
1379,D. 6
1046,D. 21
3958,A. 1
3834,D. 116
1013,A. 28
156,C. 78
3060,C. 12
120,B. 4
3796,D. 41
3680,D. 300
2852,B. 900000
3641,A. 160
2434,B. 283
3815,D. 2600
1238,D. 20655
1396,A. 8
1651,B. 960
3643,A. 140000
1120,B. 210
3998,C. 25 phút
17,B. 13
2823,C. 14
1463,C. 800
186,D. 30
408,A. 10
2373,B. 64
3361,C. 12
2192,C. 32
1075,D. 10
3095,C. 24
1441,A. 19
1746,B. 50
33,A. 140
208,C. 1884
3845,A. 26
1295,C. 58
445,B. 12
3875,A. 25
3473,B. 18
3198,D. 31
1506,A. 120
1085,A. 62
2867,B. 75
1310,A. 12
1220,D. 6
681,C. 28
3617,A. 10
2052,A. 2
1227,A. 10
1605,D. 3
109,C. 36
1932,C. 19200
1948,C. 240
2009,B. 6
3516,C. 90
2043,C. 75
2367,C. 45
51,D. 43
3678,C. 32
1694,B. 3240
73,B. 135
1612,B. 38
1766,C. 45
1978,D. 26
3166,D. 24
2714,B. 40
2364,D. 91
2120,A. 36
157,B. 48
3961,A. 1
52,D. 55
3245,B. 3600
223,D. 30
2571,D. 900
26,A. 22
1571,C. 10
1741,C. 5
217,D. 495
3852,B. 5040
2936,B. 800
2533,A. 30
359,A. 8
1032,A. 27
3354,B. 123
2399,B. 2756
2037,D. 4
2280,C. 12
1672,C. 120
3710,D. 288
1446,B. 200
3843,B. 463
520,A. 69
302,A. 900
961,A. 10
2282,A. 40 km/giờ
1646,D. 17
1341,A. 6657
992,D. 20
1017,D. 15
547,B. 83
1903,C. 8100
916,A. 980
2309,A. 135
818,B. 1500
731,C. 8
2488,B. 25
2117,A. 157
259,B. 15
1200,C. 15
1142,A. 30
1467,A. 15
560,C. 48
1814,B. 3
2010,D. 2
2209,B. 36
2127,A. 4
2244,D. 250
3836,A. 15
3686,A. 6
295,A. 600
2929,D. 1634
3130,C. 3
134,C. 11
2943,C. 110
603,C. 12
1940,A. 80
266,D. 32
3626,C. 66
371,B. 5
1870,D. 240
2273,B. 20000
1036,B. 10
757,A. 4
1433,B. 1050
614,"C. 9,261cm3"
3209,C. 9
1298,B. 16
1867,C. 38400
1695,B. 160
3424,B. 96
2746,A. 67
755,C. 800
3447,B. 22
2351,A. 7520
416,B. 250000
172,D. $\frac{7}{1000}$
564,D. 14
1863,C. 480
2440,A. 50
1576,C. 114
3760,C. 15
190,A. 2304
12,A. 13375
2918,D. 6318
326,A. 15
1826,A. 24
553,A. 17
1824,C. 36000
1172,A. 22
465,B. 3
3053,B. 5
668,D. 72
3250,C. 64%
2784,A. 480
1789,C. 5
1585,D. 59
2965,A. 42
1089,D. 5
471,B. 86
1943,A. 50
241,C. 130
176,C. 537
821,C. 235
2574,A. 3
1272,A. 80
2763,A. 3
1521,A. 1980
1745,B. 268
1369,A. 1600
3784,C. 4
2292,A. 208
1969,A. 6
901,B. 11880
230,C. 2
3246,C. 5
2061,B. 6
3525,A. 65
356,D. 45
3229,C. 72
2345,B. 7
1226,D. 216
2717,D. 20
1381,A. 3
420,A. 3
3785,A. 44
3841,B. 6
69,B. 15
1517,C. 270
